,restaurantID
0,3401013
1,3400299
2,3400279
3,3400290
4,3400005
5,3400275
6,3400017
7,3401284
8,3400282
9,3400297
10,3400457
11,3400868
12,3400326
13,3400469
14,3400105
15,3400469
16,3400105
17,3400296
18,3400010
19,3400021
20,3401492
21,3400475
22,3401611
23,3400238
24,3401167
25,3400016
26,3400304
27,3400908
28,3400430
29,3400158
30,3400130
31,3400025
32,3401344
33,3400628
34,3400838
35,3400346
36,18895858
37,3400391
38,3400853
39,3400278
40,3400131
41,3400392
42,3400840
43,18888066
44,3401310
45,3400015
46,3401781
47,3400059
48,3400301
49,3400263
50,3401796
51,3400174
52,3401847
53,3401556
54,3400382
55,3401243
56,3400348
57,18977166
58,3400685
59,3400934
60,3400737
61,3400385
62,3401309
63,3400967
64,3400325
65,3400319
66,19060078
67,3400023
68,3400338
69,18690442
70,3400029
71,3401296
72,3401276
73,3401239
74,3401749
75,18961610
76,3400780
77,3401095
78,3400811
79,3400350
80,3400024
81,3400345
82,3400652
83,18691803
84,3400067
85,3401196
86,3400230
87,19183764
88,3401687
89,18966639
90,3400328
91,3401582
92,3401859
93,3400269
94,3400036
95,3401750
96,3401164
97,18943864
98,3400696
99,18894892
100,18926750
101,3400060
102,3400455
103,3401174
104,3400336
105,3401835
106,3401558
107,3400106
108,3401227
109,3400020
110,3400742
111,3401784
112,3401629
113,3400302
114,3401387
115,18355044
116,18691949
117,18343879
118,3401225
119,18923631
120,3401467
121,3401295
122,3400255
123,3401930
124,3400376
125,3400298
126,3400444
127,18862859
128,3400072
129,3401232
130,3400055
131,3400322
132,3401103
133,3400963
134,3401312
135,3400851
136,3401813
137,19091260
138,18885379
139,3401837
140,19126302
141,3401206
142,3400062
143,3401333
144,18981109
145,3401085
146,3401951
147,3401142
148,3400690
149,3400918
150,3401024
151,3400180
152,3401741
153,18886113
154,3400154
155,3401241
156,18948987
157,3400080
158,19015710
159,18933640
160,3400461
161,3400117
162,3401084
163,3401090
164,3401104
165,18863824
166,3401050
167,3400048
168,19155696
169,19329531
170,3401560
171,18889960
172,3401738
173,18884614
174,3401282
175,3401046
176,18871233
177,18964755
178,3400272
179,3401924
180,18944261
181,3401045
182,3400347
183,3400002
184,3400300
185,18899460
186,3400356
187,3401231
188,19049083
189,3400330
190,3400341
191,19037773
192,3400361
193,3400371
194,3400034
195,3400658
196,19282897
197,3401237
198,18921647
199,3400614
200,3401136
201,3401236
202,3401664
203,3401850
204,3400860
205,3401407
206,3400534
207,18865931
208,18397700
209,3400790
210,3400242
211,19082728
212,3400096
213,18253115
214,3400267
215,19107559
216,19072440
217,18990028
218,3401328
219,3400049
220,3401135
221,3400004
222,3400179
223,3401257
224,3401737
225,19158443
226,18942402
227,3400459
228,3400393
229,18928976
230,18917793
231,3400487
232,3401311
233,3400122
234,3400922
235,3400262
236,3401010
237,3400907
238,18918256
239,3400443
240,3400078
241,3401856
242,3400241
243,18966194
244,3400792
245,3401610
246,3400913
247,3401411
248,3401107
249,19278890
250,18889778
251,18921648
252,3401794
253,3401030
254,3401638
255,19141259
256,3400114
257,3400689
258,18404297
259,3401094
260,3401321
261,3401154
262,3401654
263,3400111
264,3400294
265,3400440
266,3401122
267,19118418
268,3401253
269,3400077
270,3401640
271,18889796
272,3401848
273,3400527
274,3401112
275,3401797
276,3400166
277,18858272
278,3400829
279,19072348
280,18691851
281,19191237
282,19185090
283,18938144
284,3401475
285,3400367
286,3401091
287,19107385
288,3400603
289,19007634
290,3400107
291,18953499
292,3400079
293,3401338
294,18885382
295,3400750
296,3401189
297,3400814
298,18934159
299,3401414
